Abbreviation of the operating point;Name of the operating point;Abkuerzung Betriebspunkt Strecke;Name of operating point distance;LINIE;Kilometry of the operating point;LINIENNAME;VERWALTUNG;E;N;geopos;BPUIC;Didok Nummer;Name Haltestelle;lod
CHVS;Chavornay Sud (bif);CHV;Chavornay;210;27.32;Daillens - Biel/Bienne;SBB;2533413.912;1173441.436;46.7088462089,6.56786456017;8515317;15317;Chavornay Sud (bif);http://lod.opentransportdata.swiss/didok/8515317
COL;Le Locle-Col-des-Roches;COL;Le Locle-Col-des-Roches;224;38.86171;Chambrelien Nord - Le Locle (Frontiere);SBB;2545856.262;1211230.781;47.0498855471,6.72607084315;8504317;4317;Le Locle-Col-des-Roches;http://lod.opentransportdata.swiss/didok/8504317
CORM;Cormoret;CORM;Cormoret;225;57.63528;Biel/Bienne West - La Chaux-de-Fonds;SBB;2570850.27;1224737.2;47.1729470993,7.05412356821;8504308;4308;Cormoret;http://lod.opentransportdata.swiss/didok/8504308
CORN;Cornaux;CORN;Cornaux;210;83.60063;Daillens - Biel/Bienne;SBB;2568439.194;1209810.291;47.0385720221,7.02336560983;8504223;4223;Cornaux;http://lod.opentransportdata.swiss/didok/8504223
CP;Corcelles-Peseux;CP;Corcelles-Peseux;223;4.32248;Neuchatel-Vauseyon - Chambrelien;SBB;2557789.653;1203737.154;46.9833509362,6.88381351511;8504232;4232;Corcelles-Peseux;http://lod.opentransportdata.swiss/didok/8504232
CRA;Crans;CRA;Crans;150;41.92047;Lausanne - Geneve-Aeroport;SBB;2505630.0033;1134891.2535;46.3587497583,6.21246417593;8501017;1017;Crans;http://lod.opentransportdata.swiss/didok/8501017
CRGD;Creux-de-Genthod;CRGD;Creux-de-Genthod;150;53.80043;Lausanne - Geneve-Aeroport;SBB;2501521.417;1124396.873;46.2637677319,6.16131235026;8501012;1012;Creux-de-Genthod;http://lod.opentransportdata.swiss/didok/8501012
DENA;Denges A (bif);DEN;Denges-Echandens;164;8.26747;Lecheires - Denges A;SBB;2531193.53;1153533.643;46.5295507619,6.54181125414;8515322;15322;Denges A (bif);http://lod.opentransportdata.swiss/didok/8515322
DIH;Dinhard;DIH;Dinhard;821;9.96916;Oberwinterthur - Etzwilen West (Abzw);SBB;2698929.771;1267786.78;47.5533451481,8.75298087411;8506021;6021;Dinhard;http://lod.opentransportdata.swiss/didok/8506021
DKO;Daniken Ost;DK;Daniken;650;48.11923;Killwangen West - Lenzburg - Daniken Ost;SBB;2641165.458;1245435.04;47.3584785834,7.98351889685;8502143;2143;Däniken Ost;http://lod.opentransportdata.swiss/didok/8502143
DOPP;Doppleschwand-Romoos;DOPP;Doppleschwand-Romoos;460;70.4639;Gumligen Sud - Fluhmuhle;SBB;2647815.154;1208771.059;47.0282593031,8.06764756786;8508214;8214;Doppleschwand-Romoos;http://lod.opentransportdata.swiss/didok/8508214
DORF;Dorfnest (Abzw);DORF;Dorfnest (Abzw);757;13.37749;Kloten - Dorfnest (Uberwerfung);SBB;2688318.739;1255390.319;47.4433780357,8.60956981715;8503337;3337;Dorfnest (Abzw);http://lod.opentransportdata.swiss/didok/8503337
DUG;Duggingen;DUG;Duggingen;230;111.00225;Delemont Est - Basel SBB Ost;SBB;2612430.969;1255864.055;47.4534448145,7.60346074943;8500116;116;Duggingen;http://lod.opentransportdata.swiss/didok/8500116
EBI;Ebikon;EBI;Ebikon;660;58.58004;Thalwil - Zug - Fluhmuhle;SBB;2668625.013;1215200.577;47.0842627454,8.34235821712;8502200;2200;Ebikon;http://lod.opentransportdata.swiss/didok/8502200
EBR;Emmenbrucke;EBR;Emmenbrucke;500;90.18571;Basel SBB - Olten - Luzern;SBB;2664101.123;1213631.351;47.070601491,8.28256532837;8502021;2021;Emmenbrücke;http://lod.opentransportdata.swiss/didok/8502021
EMB;Embrach-Rorbas;EMB;Embrach-Rorbas;769;12.3183;Winterthur West - Bulach;SBB;2686496.081;1263949.229;47.5205902494,8.58706883565;8506041;6041;Embrach-Rorbas;http://lod.opentransportdata.swiss/didok/8506041
EMM;Emmenmatt;EMM;Emmenmatt;460;34.09164;Gumligen Sud - Fluhmuhle;SBB;2623498.445;1199720.386;46.9481541205,7.74729489945;8508206;8206;Emmenmatt;http://lod.opentransportdata.swiss/didok/8508206
ERM;Ermatingen;ERM;Ermatingen;822;54.00502;Etzwilen - Konstanz;SBB;2723695.365;1281227.434;47.6699991329,9.08567246015;8506133;6133;Ermatingen;http://lod.opentransportdata.swiss/didok/8506133
EZ;Eschenz;EZ;Eschenz;822;36.92798;Etzwilen - Konstanz;SBB;2708042.903;1278185.195;47.6454121293,8.87656168183;8506138;6138;Eschenz;http://lod.opentransportdata.swiss/didok/8506138
FA;Faido;FA;Faido;600;106.03713;Immensee - Bellinzona - Chiasso;SBB;2703819.654;1148866.822;46.4830754867,8.79071005429;8505204;5204;Faido;http://lod.opentransportdata.swiss/didok/8505204
FACO;Faido cunicolo di acc. ovest;FACO;Faido cunicolo di acc. ovest;5004;-0.0788;Faido cunicolo di accesso;SBB;2702876.359;1149288.054;46.4870097186,8.77852141439;8518494;18494;Faido cunicolo di acc ovest;http://lod.opentransportdata.swiss/didok/8518494
FL;Fluelen;FL;Fluelen;600;32.30055;Immensee - Bellinzona - Chiasso;SBB;2690339.765;1195195.459;46.9017301738,8.6243027189;8505112;5112;Flüelen;http://lod.opentransportdata.swiss/didok/8505112
FLM;Flamatt;FLM;Flamatt;250;84.07302;Lausanne Est - Bern;SBB;2590925.671;1193048.702;46.8884913393,7.31957079845;8504103;4103;Flamatt;http://lod.opentransportdata.swiss/didok/8504103
FRB;Freienbach SBB;FRB;Freienbach SBB;720;31.70887;ZH Langstrasse - Thalwil - Ziegelbrucke;SBB;2699819.489;1229323.328;47.2073107259,8.75621861337;8503210;3210;Freienbach SBB;http://lod.opentransportdata.swiss/didok/8503210
FREU;Freudenberg;FREU;Freudenberg;9668;46.898;"Projekt Alptransit Spange Rotkreuz""""";SBB;2676881.7664;1222705.8451;47.1508593389,8.45235734564;8517107;17107;Freudenberg;http://lod.opentransportdata.swiss/didok/8517107
FRNO;Fribourg Nord;FRNO;Fribourg Nord;253;48.925;Payerne Est - Fribourg Nord;SBB;2578245.333;1184545.642;46.8117085167,7.15360222839;8515663;15663;Fribourg Nord;http://lod.opentransportdata.swiss/didok/8515663
FRPO;Fribourg/Freiburg Poya;FRPO;Fribourg/Freiburg Poya;250;67.477;Lausanne Est - Bern;SBB;2578466.975;1184975.18;46.815579595,7.15648597048;8519133;19133;Fribourg/Freiburg Poya;http://lod.opentransportdata.swiss/didok/8519133
FSMN;Faido SMF Nord;FSMF;Faido SMF;595;139.80808;GBT Ost;SBB;2705073.237;1150991.197;46.5019871941,8.807515251;8518324;18324;Faido SMF Nord;http://lod.opentransportdata.swiss/didok/8518324
GA;Gampel-Steg;GA;Gampel-Steg;335;49.94788;Lotschen - Gampel-Steg;SBB;2623800.461;1128392.119;46.3065154899,7.74758115014;8501603;1603;Gampel-Steg;http://lod.opentransportdata.swiss/didok/8501603
GAMS;Gamsen SBB;GAMS;Gamsen SBB;100;141.437;Lausanne - Simplon Tunnel I - Iselle;SBB;2638646.666;1128173.991;46.3038644917,7.94026737361;8501606;1606;Gamsen SBB;http://lod.opentransportdata.swiss/didok/8501606
GDBE;Genthod-Bellevue;GDBE;Genthod-Bellevue;150;54.77341;Lausanne - Geneve-Aeroport;SBB;2500941.873;1123624.745;46.2567377201,6.15396075261;8501021;1021;Genthod-Bellevue;http://lod.opentransportdata.swiss/didok/8501021
GE;Geneve;GE;Geneve;158;60.23597;Geneve Poste 1 - Geneve FB - Geneve;SBB;2499968.949;1118468.129;46.2102129079,6.14245160789;8501008;1008;Genève;http://lod.opentransportdata.swiss/didok/8501008
GLA;Gland;GLA;Gland;150;33.78925;Lausanne - Geneve-Aeroport;SBB;2510093.198;1141631.179;46.4199864805,6.26913985945;8501031;1031;Gland;http://lod.opentransportdata.swiss/didok/8501031
GLAO;Gland Ouest;GLA;Gland;149;34.23;Gland Ballastiere;SBB;2509822.679;1141285.782;46.4168433558,6.26568874228;8519355;19355;Gland Ouest;http://lod.opentransportdata.swiss/didok/8519355
GLO;Glovelier;GLO;Glovelier;237;30.283;Combe-Tabeillon - Glovelier;SBB;2582668.271;1242730.974;47.3352094839,7.20931275509;8500123;123;Glovelier;http://lod.opentransportdata.swiss/didok/8500123
GOR;Gorgier-St-Aubin;GOR;Gorgier-St-Aubin;210;58.097;Daillens - Biel/Bienne;SBB;2549891.091;1194429.162;46.8990761279,6.78102595265;8504205;4205;Gorgier-St-Aubin;http://lod.opentransportdata.swiss/didok/8504205
GOTN;Gotthard Nord (Spw);GOTN;Gotthard Nord (Spw);600;75.371;Immensee - Bellinzona - Chiasso;SBB;2688402.042;1164023.726;46.6216185153,8.59285724952;8505141;5141;Gotthard Nord (Spw);http://lod.opentransportdata.swiss/didok/8505141
GREL;Grellingen;GREL;Grellingen;230;108.94158;Delemont Est - Basel SBB Ost;SBB;2611568.423;1254511.424;47.4412948593,7.59198831492;8500115;115;Grellingen;http://lod.opentransportdata.swiss/didok/8500115
GRS;Grandson;GRS;Grandson;210;42.71125;Daillens - Biel/Bienne;SBB;2539188.578;1184212.433;46.8062833566,6.6419437669;8504201;4201;Grandson;http://lod.opentransportdata.swiss/didok/8504201
GSSO;Gossau-Sommerau (Agl);GSSO;Gossau-Sommerau (Agl);852;21.25868;Sulgen - Gossau SG;SBB;2735971.24;1253703.487;47.4200890738,9.24065789359;8506239;6239;Gossau-Sommerau (Agl);http://lod.opentransportdata.swiss/didok/8506239
GU;Gurtnellen;GU;Gurtnellen;600;54.40072;Immensee - Bellinzona - Chiasso;SBB;2690489.709;1176032.698;46.7293535255,8.62247619656;8505117;5117;Gurtnellen;http://lod.opentransportdata.swiss/didok/8505117
GUE;Gumligen;GUE;Gumligen;290;113.95844;Bern Wylerfeld - Thun;SBB;2605092.291;1198138.796;46.9343219548,7.5055047832;8507003;7003;Gümligen;http://lod.opentransportdata.swiss/didok/8507003
GUN;Guntershausen;GUN;Guntershausen;850;120.94994;St.Gallen - Winterthur Nord;SBB;2711442.263;1259199.44;47.4741213563,8.91703206431;8506012;6012;Guntershausen;http://lod.opentransportdata.swiss/didok/8506012
HAE;Hagendorf;HAE;Hagendorf;410;45.30279;Olten - Solothurn - Biel/Bienne;SBB;2630627.541;1242234.759;47.330267812,7.84381638329;8500215;215;Hägendorf;http://lod.opentransportdata.swiss/didok/8500215
HAG;Haag-Gams;HAG;Haag-Gams;880;20.38732;Sargans Ost - St.Gallen;SBB;2754556.447;1230499.238;47.2073497201,9.47886707721;8509403;9403;Haag-Gams;http://lod.opentransportdata.swiss/didok/8509403
HB;Herzogenbuchsee;HB;Herzogenbuchsee;418;66.71516;Anschlussgleis Herzogenbuchsee Nord;SBB;2619881.936;1226381.482;47.1880861101,7.70095832122;8508008;8008;Herzogenbuchsee;http://lod.opentransportdata.swiss/didok/8508008
HDK;Hendschiken;HDK;Hendschiken;653;65.17324;Gexi Ost - Rotkreuz - Immensee West;SBB;2658044.143;1249017.719;47.3894310909,8.20738865977;8502211;2211;Hendschiken;http://lod.opentransportdata.swiss/didok/8502211
HGT;Henggart;HGT;Henggart;762;35.00994;Winterthur Nord - Schaffhausen RB Ost;SBB;2693799.783;1268916.522;47.5642572262,8.68507519504;8506046;6046;Henggart;http://lod.opentransportdata.swiss/didok/8506046
HN;Horn;HN;Horn;825;93.46531;Romanshorn Feld H - Rorschach;SBB;2752563.941;1262237.32;47.4931799805,9.46338787007;8506307;6307;Horn;http://lod.opentransportdata.swiss/didok/8506307
HOSA;Hochdorf Schonau;HOSA;Hochdorf Schonau;651;12.87;Hubeli - Beinwil - Lenzburg;SBB;2665214.662;1224090.878;47.1645693416,8.298733609;8502042;2042;Hochdorf Schönau;http://lod.opentransportdata.swiss/didok/8502042
HRD;Hard Kaferberg (Abzw);HRD;Hard Kaferberg (Abzw);715;1.19544;Zurich Altstetten Ost - Zurich Hard;SBB;2680997.068;1249520.234;47.3915284925,8.51144653427;8503038;3038;Hard Käferberg (Abzw);http://lod.opentransportdata.swiss/didok/8503038
HUEB;Hubeli LU;HUEB;Hubeli LU;651;1.73909;Hubeli - Beinwil - Lenzburg;SBB;2663795.451;1215174.305;47.0845089459,8.27875869834;8515404;15404;Hübeli LU;http://lod.opentransportdata.swiss/didok/8515404
JON;Jonction (Geneve);JON;Jonction (Geneve);152;62.4;St-Jean - Geneve-Eaux-Vives - Annemasse;SBB;2498286.872;1117563.821;46.2018268071,6.12085649953;8501041;1041;Jonction (Genève);http://lod.opentransportdata.swiss/didok/8501041
KB;Koblenz;KB;Koblenz;701;48.3789;Eglisau - Koblenz - Stein Sackingen Ost;SBB;2659293.033;1272481.279;47.600338308,8.22704965762;8500329;329;Koblenz;http://lod.opentransportdata.swiss/didok/8500329
KE;Kemptthal;KE;Kemptthal;751;20.49486;ZH Langstr. - Wallisellen - Winterthur;SBB;2695543.203;1256554.586;47.4528388907,8.70558620929;8503304;3304;Kemptthal;http://lod.opentransportdata.swiss/didok/8503304
KGD;Kungoldingen;KGD;Kungoldingen;504;1.668;Zofingen - Suhr;SBB;2638053.609;1239150.551;47.3021414978,7.94179668416;8502120;2120;Küngoldingen;http://lod.opentransportdata.swiss/didok/8502120
KK;Kolliken;KK;Kolliken;504;10.87955;Zofingen - Suhr;SBB;2644427.169;1243103.863;47.3373001594,8.02646055742;8502101;2101;Kölliken;http://lod.opentransportdata.swiss/didok/8502101
KL;Kloten;KL;Kloten;752;11.29461;Zurich Oerlikon Nord - Hurlistein (Abzw);SBB;2686367.434;1255942.995;47.4486073311,8.5838096454;8503308;3308;Kloten;http://lod.opentransportdata.swiss/didok/8503308
KL;Kloten;KL;Kloten;757;11.29957;Kloten - Dorfnest (Uberwerfung);SBB;2686367.434;1255942.995;47.4486073311,8.5838096454;8503308;3308;Kloten;http://lod.opentransportdata.swiss/didok/8503308
KLB;Kloten Balsberg;KLB;Kloten Balsberg;752;8.79927;Zurich Oerlikon Nord - Hurlistein (Abzw);SBB;2685390.325;1255226.398;47.4422903889,8.57071842695;8503309;3309;Kloten Balsberg;http://lod.opentransportdata.swiss/didok/8503309
KLW;Killwangen-Spreitenbach;KLW;Killwangen-Spreitenbach;710;16.1125;Zurich HB - Brugg AG;SBB;2669072.525;1254017.032;47.4333288409,8.35421393402;8503506;3506;Killwangen-Spreitenbach;http://lod.opentransportdata.swiss/didok/8503506
KLWW;Killwangen West (Abzw);KLW;Killwangen-Spreitenbach;650;16.51863;Killwangen West - Lenzburg - Daniken Ost;SBB;2668725.525;1254231.03;47.4352897624,8.34964761959;8515450;15450;Killwangen West (Abzw);http://lod.opentransportdata.swiss/didok/8515450
KR;Kreuzlingen;KR;Kreuzlingen;823;60.68801;Kreuzlingen - Kreuzlingen Hafen;SBB;2730001.191;1279422.829;47.6525527757,9.16908040533;8506131;6131;Kreuzlingen;http://lod.opentransportdata.swiss/didok/8506131
KZPP;Kerzers Papiliorama;KZPP;Kerzers Papiliorama;251;86.517;Palezieux Est - Lyss Nord;SBB;2581792.385;1204329.332;46.9897737181,7.19928151381;8516444;16444;Kerzers Papiliorama;http://lod.opentransportdata.swiss/didok/8516444
LA;Lachen;LA;Lachen;720;39.57854;ZH Langstrasse - Thalwil - Ziegelbrucke;SBB;2707163.769;1227533.961;47.1900684227,8.85271520237;8503220;3220;Lachen;http://lod.opentransportdata.swiss/didok/8503220
LACL;La Clef;LACL;La Clef;225;63.795;Biel/Bienne West - La Chaux-de-Fonds;SBB;2565545.006;1221828.843;47.1465315683,6.98436775458;8519217;19217;La Clef;http://lod.opentransportdata.swiss/didok/8519217
LBW;Lenzburg West (Abzw);LB;Lenzburg;650;32.313;Killwangen West - Lenzburg - Daniken Ost;SBB;2654909.42;1249348.182;47.3926718333,8.1659139374;8515407;15407;Lenzburg West (Abzw);http://lod.opentransportdata.swiss/didok/8515407
LDT;Luzern Dreilindentunnel (Spw);LDT;Luzern Dreilindentunnel (Spw);9571;0.0;Ebikon Sud - Neustadttunnel West;SBB;2666461.0;1212042.0;47.0560737825,8.313399035;8509011;9011;Luzern Dreilindentunnel (Spw);http://lod.opentransportdata.swiss/didok/8509011
LENO;Lengnau Ost (Abzw);LEN;Lengnau;232;12.64243;Moutier - Lengnau Ost;SBB;2594831.297;1225555.465;47.1809324938,7.37043971129;8515335;15335;Lengnau Ost (Abzw);http://lod.opentransportdata.swiss/didok/8515335
LENO;Lengnau Ost (Abzw);LEN;Lengnau;410;87.65494;Olten - Solothurn - Biel/Bienne;SBB;2594831.297;1225555.465;47.1809324938,7.37043971129;8515335;15335;Lengnau Ost (Abzw);http://lod.opentransportdata.swiss/didok/8515335
LGB;Leuggelbach;LGB;Leuggelbach;736;77.35064;Ziegelbrucke Ost - Linthal Gleisende;SBB;2722369.535;1203995.117;46.9757428885,9.04694440369;8503235;3235;Leuggelbach;http://lod.opentransportdata.swiss/didok/8503235
LGV;Lugano Vedeggio;LGV;Lugano Vedeggio;633;178.537;Taverne-Torricella - Lugano Vedeggio;SBB;2714540.065;1097579.662;46.0200516736,8.91770189854;8505345;5345;Lugano Vedeggio;http://lod.opentransportdata.swiss/didok/8505345
LITT;Litti (Baar);LITT;Litti (Baar);9722;21.0;Nidelbad - Litti;SBB;2683119.27;1229243.269;47.2089019466,8.53579702543;8502242;2242;Litti (Baar);http://lod.opentransportdata.swiss/didok/8502242
LK;Leuk;LK;Leuk;100;117.694;Lausanne - Simplon Tunnel I - Iselle;SBB;2615891.2932;1128929.1701;46.3115795108,7.64493646122;8501601;1601;Leuk;http://lod.opentransportdata.swiss/didok/8501601
LOC;Le Locle;LOC;Le Locle;224;37.06721;Chambrelien Nord - Le Locle (Frontiere);SBB;2547390.022;1212103.713;47.0578610148,6.74615325034;8504316;4316;Le Locle;http://lod.opentransportdata.swiss/didok/8504316
LON;Lonay-Preverenges;LON;Lonay-Preverenges;150;10.12288;Lausanne - Geneve-Aeroport;SBB;2529476.908;1152840.352;46.5231356113,6.51954476302;8501048;1048;Lonay-Préverenges;http://lod.opentransportdata.swiss/didok/8501048
LP;La Plaine;LP;La Plaine;151;74.778;Geneve St-Jean - La Plaine-Frontiere;SBB;2488911.782;1115153.608;46.1786654048,5.99999275337;8501001;1001;La Plaine;http://lod.opentransportdata.swiss/didok/8501001
LS;Lausanne;LS;Lausanne;100;0.0;Lausanne - Simplon Tunnel I - Iselle;SBB;2537874.991;1152042.412;46.5167918174,6.62909229044;8501120;1120;Lausanne;http://lod.opentransportdata.swiss/didok/8501120
LSE;Lausanne Est;LS;Lausanne;100;0.519;Lausanne - Simplon Tunnel I - Iselle;SBB;2538282.382;1151749.711;46.5141967033,6.6344397622;8515338;15338;Lausanne Est;http://lod.opentransportdata.swiss/didok/8515338
LTB;Lausanne-Triage B;LT;Lausanne-Triage;172;8.51065;Lausanne-Triage  A/B - B;SBB;2530999.878;1153370.922;46.5280671202,6.53931177945;8515339;15339;Lausanne-Triage B;http://lod.opentransportdata.swiss/didok/8515339
LTE;Lausanne-Triage Est;LT;Lausanne-Triage;166;7.25578;Renens VD Ouest - Lausanne-Triage Est;SBB;2532096.006;1154205.144;46.5356832683,6.55347432331;8515639;15639;Lausanne-Triage Est;http://lod.opentransportdata.swiss/didok/8515639
LTO;Lausanne-Triage Ouest;LT;Lausanne-Triage;161;9.7915;Lausanne-Triage F - Lonay A (bif);SBB;2529787.25;1152950.23;46.5241566673,6.52357218424;8518430;18430;Lausanne-Triage Ouest;http://lod.opentransportdata.swiss/didok/8518430
LTSE;Lausanne-Triage sectionnement;LT;Lausanne-Triage;160;10.26692;Renens VD Ouest - Lausanne-Triage sect.;SBB;2529608.62;1152608.89;46.5210675228,6.52129645154;8515342;15342;Lausanne-Triage sectionnement;http://lod.opentransportdata.swiss/didok/8515342
LTY;Lutry;LTY;Lutry;100;5.073;Lausanne - Simplon Tunnel I - Iselle;SBB;2542581.879;1150549.814;46.5037867325,6.69060945008;8501122;1122;Lutry;http://lod.opentransportdata.swiss/didok/8501122
LUE;Lusslingen;LUE;Lusslingen;415;84.19647;Wanzwil (Abzw) - Solothurn - Busswil;SBB;2604393.377;1226841.624;47.1925078079,7.49660079179;8500225;225;Lüsslingen;http://lod.opentransportdata.swiss/didok/8500225
LUPF;Lupfig;LUPF;Lupfig;647;4.23636;Brugg - Hendschiken Nord;SBB;2658556.73;1255221.891;47.445184179,8.21498985697;8502237;2237;Lupfig;http://lod.opentransportdata.swiss/didok/8502237
LUY;Lussy FR;LUY;Lussy FR;250;42.93;Lausanne Est - Bern;SBB;2561756.099;1173239.812;46.7092645082,6.93850940451;8519129;19129;Lussy FR;http://lod.opentransportdata.swiss/didok/8519129
LYGR;Lyss Grien;LYGR;Lyss Grien;251;99.03;Palezieux Est - Lyss Nord;SBB;2589204.974;1213528.633;47.0726845385,7.29650344962;8518749;18749;Lyss Grien;http://lod.opentransportdata.swiss/didok/8518749
LYW;Lyss West (Agl);LY;Lyss;251;99.7905;Palezieux Est - Lyss Nord;SBB;2589359.636;1214257.497;47.0792432005,7.2985225568;8515344;15344;Lyss West (Agl);http://lod.opentransportdata.swiss/didok/8515344
LZEF;Luzern Einfahrt (Abzw);LZ;Luzern;500;94.46571;Basel SBB - Olten - Luzern;SBB;2666201.893;1210767.752;47.0446385317,8.30980273028;8505045;5045;Luzern Einfahrt (Abzw);http://lod.opentransportdata.swiss/didok/8505045
LZEF;Luzern Einfahrt (Abzw);LZ;Luzern;551;94.46571;Luzern Verbindung GB;SBB;2666201.893;1210767.752;47.0446385317,8.30980273028;8505045;5045;Luzern Einfahrt (Abzw);http://lod.opentransportdata.swiss/didok/8505045
LZSE;Luzern Seeverlad;LZ;Luzern;552;95.30263;Luzern Verbindung Seeverlad;SBB;2666888.608;1210929.876;47.0460278868,8.3188626719;8515737;15737;Luzern Seeverlad;http://lod.opentransportdata.swiss/didok/8515737
LZVH;Luzern Verkehrshaus;LZVH;Luzern Verkehrshaus;570;5.94;Gutsch - Kussnacht - Immensee;SBB;2668279.333;1211824.455;47.0539322718,8.33729728745;8517336;17336;Luzern Verkehrshaus;http://lod.opentransportdata.swiss/didok/8517336
MAT;Mattstetten;MAT;Mattstetten;450;93.15603;Olten Sud - Bern;SBB;2606145.199;1208342.383;47.0260955728,7.51946813766;8508002;8002;Mattstetten;http://lod.opentransportdata.swiss/didok/8508002
MBGW;Mulberg West;MBGW;Mulberg West;9782;154.0;Bruttenertunnel Nord;SBB;2691716.1468;1254939.6621;47.4388605128,8.65451362917;8519643;19643;Mülberg West;http://lod.opentransportdata.swiss/didok/8519643
MDE;Melide;MDE;Melide;600;187.2297;Immensee - Bellinzona - Chiasso;SBB;2717051.564;1090473.911;45.9557134937,8.94835914329;8505302;5302;Melide;http://lod.opentransportdata.swiss/didok/8505302
MEGZ;Meggen Zentrum;MEGZ;Meggen Zentrum;570;9.862;Gutsch - Kussnacht - Immensee;SBB;2671109.261;1210886.048;47.0451944647,8.374393044;8505018;5018;Meggen Zentrum;http://lod.opentransportdata.swiss/didok/8505018
MEIB;Meilibach (Abzw);MEIB;Meilibach (Abzw);9724;0.0;Meilibach (Abzw) - Sihlbrugg;SBB;2690038.35;1234046.242;47.2511915507,8.62807594534;8503215;3215;Meilibach (Abzw);http://lod.opentransportdata.swiss/didok/8503215
MRL;Moreillon;MRL;Moreillon;250;14.6198;Lausanne Est - Bern;SBB;2549880.843;1150997.152;46.5083980984,6.78564538921;8504007;4007;Moreillon;http://lod.opentransportdata.swiss/didok/8504007
MSPI;Munsterlingen Spital;MSPI;Munsterlingen Spital;824;95.46374;Romanshorn - Konstanz;SBB;2735088.705;1277256.484;47.6320460683,9.23611680445;8506143;6143;Münsterlingen Spital;http://lod.opentransportdata.swiss/didok/8506143
MUOS;Muttenz Ost (Abzw);MU;Muttenz;500;5.58634;Basel SBB - Olten - Luzern;SBB;2616436.991;1264469.347;47.5307523799,7.65689748277;8515984;15984;Muttenz Ost (Abzw);http://lod.opentransportdata.swiss/didok/8515984
MX;Montreux;MX;Montreux;100;24.5365;Lausanne - Simplon Tunnel I - Iselle;SBB;2559404.614;1142864.052;46.4358843229,6.91044006944;8501300;1300;Montreux;http://lod.opentransportdata.swiss/didok/8501300
NEVS;Neuchatel-Vauseyon;NEVS;Neuchatel-Vauseyon;223;1.6442;Neuchatel-Vauseyon - Chambrelien;SBB;2560272.999;1204559.35;46.9909002472,6.91638187274;8504230;4230;Neuchâtel-Vauseyon;http://lod.opentransportdata.swiss/didok/8504230
NIDB;Nidelbad (Abzw);NIDB;Nidelbad (Abzw);722;9.67456;ZH Langstrasse - Nidelbad - Litti;SBB;2683374.446;1240733.372;47.3122078958,8.54129600179;8503328;3328;Nidelbad (Abzw);http://lod.opentransportdata.swiss/didok/8503328
NO;Nottwil;NO;Nottwil;500;73.7826;Basel SBB - Olten - Luzern;SBB;2653099.017;1221106.736;47.1388117834,8.13860106486;8502008;2008;Nottwil;http://lod.opentransportdata.swiss/didok/8502008
NV;La Neuveville;NV;La Neuveville;9210;90.04861;La Neuveville - Tuscherz;SBB;2573912.987;1212480.91;47.0628327875,7.09523245151;8504226;4226;La Neuveville;http://lod.opentransportdata.swiss/didok/8504226
NWGE;Niederweningen (Gleisende);NW;Niederweningen;761;25.3889;Oberglatt - Niederweningen Gleisende;SBB;2669953.074;1262784.684;47.5120863703,8.36726005406;8515459;15459;Niederweningen (Gleisende);http://lod.opentransportdata.swiss/didok/8515459
NYB;Nyon (bif);NY;Nyon;150;38.8;Lausanne - Geneve-Aeroport;SBB;2507301.3051;1137512.6923;46.3825617086,6.23365258727;8515645;15645;Nyon (bif);http://lod.opentransportdata.swiss/didok/8515645
OA;Oberaach;OA;Oberaach;840;73.20724;Winterthur Nord - Romanshorn;SBB;2737918.977;1268565.973;47.5533193462,9.27106230577;8506108;6108;Oberaach;http://lod.opentransportdata.swiss/didok/8506108
OHDB;Oberhard BE;HRDF;Hardfeld (Spw);457;92.08582;Hardfeld (Spw) - Mattstetten;SBB;2606634.336;1209247.705;47.0342342928,7.5259156393;8515349;15349;Oberhard BE;http://lod.opentransportdata.swiss/didok/8515349
OLN;Olten Nord (Abzw);OL;Olten;531;37.44;Olten Verbindungslinie;SBB;2636215.64;1246124.591;47.3649707491,7.9180571857;8500243;243;Olten Nord (Abzw);http://lod.opentransportdata.swiss/didok/8500243
OP;Opfikon;OP;Opfikon;750;7.18517;ZH Oerlikon Nord - Dorfnest;SBB;2684736.915;1253845.35;47.4299548445,8.56179472865;8503340;3340;Opfikon;http://lod.opentransportdata.swiss/didok/8503340
OPP;Oppikon;OPP;Oppikon;830;14.05437;Wil - Weinfelden;SBB;2722196.908;1268080.022;47.5520642432,9.0621034373;8506185;6185;Oppikon;http://lod.opentransportdata.swiss/didok/8506185
ORD;Oberrieden;ORD;Oberrieden;720;14.22674;ZH Langstrasse - Thalwil - Ziegelbrucke;SBB;2686236.859;1237157.059;47.27967633,8.57846060111;8503203;3203;Oberrieden;http://lod.opentransportdata.swiss/didok/8503203
ORDD;Oberrieden Dorf;ORDD;Oberrieden Dorf;660;14.51771;Thalwil - Zug - Fluhmuhle;SBB;2686180.499;1236828.836;47.2767318248,8.57765280195;8502209;2209;Oberrieden Dorf;http://lod.opentransportdata.swiss/didok/8502209
PAL;Palezieux;PAL;Palezieux;117;0.00325;Palezieux - Chatel-St-Denis;SBB;2553918.865;1154785.194;46.5427635573,6.83787521203;8504014;4014;Palézieux;http://lod.opentransportdata.swiss/didok/8504014
PAY;Payerne;PAY;Payerne;252;27.89476;Yverdon Est - Payerne;SBB;2561939.492;1185510.189;46.8196499681,6.93988489691;8504134;4134;Payerne;http://lod.opentransportdata.swiss/didok/8504134
