Region;project;bp_from;bp_to;km from;km to;distance;Bemerkungen;date from;date to;amount of weeks;"Umsetzung / 
Intervalltyp / Umleitung";reduction of capacity;bis_geopos;von Betriebspunkt
ROT;KL Ersatz Ue Schaffhauserstr.;KL;KL;;;0;Verschiebung von 21-23;2024-01-01;2027-10-31;200.0;Umsetzung;;47.4486073311,8.5838096454;Kloten
ROT;AS35 ZFZ W-WF;W;WF;;;0;Studie mit 840-6;2028-01-01;2030-09-06;140.0;Umsetzung;;47.5662242454,9.10636820814;Weinfelden
ROT;AS35 OWT neues Perrongleis 2;OWT;OWT;;;0;;2031-01-01;2034-10-31;200.0;Umsetzung;;47.5079223324,8.76038920944;Oberwinterthur
ROT;AS35 WF Anlageanpassungen (Perronverlängerung,                           Ersatz Gl 2);WF;WF;;;0;Studie für 840-1,840-6, 840-7      Start VS 09/2020;2028-01-01;2029-11-30;100.0;Umsetzung;;47.5662242454,9.10636820814;Weinfelden
ROT;;;;;;0;;;1899-12-29;;;;;
ROT;FbE24 SLG - RH;SLG;RH;;;3.1;Voraussichtlich nach 2025 schieben. Einspur in Konflikt mit Rheintal Süd;2024-06-01;2024-08-09;10.0;Sperre Strecke Nacht;0.25;47.565522828,9.37937134408;Romanshorn
ROT;WIL Leistungssteigerung;WIL;WIL;;;0;;2024-01-01;2024-12-15;50.0;Umsetzung;;47.4624132783,9.04099307807;Wil SG
ROT;WIL Stw Ersatz;WIL;WIL;;;0;;2029-01-01;2030-12-01;100.0;Umsetzung;;47.4624132783,9.04099307807;Wil SG
ROT;SGBR BehiG (Studie nötig);SGBR;SGBR;;;0;Studie mit Variante Verschiebung Haltestelle wird gestartet 08/20;2026-01-01;2026-10-07;40.0;Umsetzung;;47.4072028078,9.32965488682;St Gallen Bruggen
ROT;AS35 SG Ostkopf (östliche Anbindung Gl. 7);SG;SG;;;0;;2027-01-01;2029-09-06;140.0;Umsetzung;;47.4231789578,9.36989672929;St Gallen
ROT;SG Neubau Autobahnzubringer Güterbahnhof;SG;SG;;;0;;2034-01-01;2037-10-31;200.0;Umsetzung;;47.4231789578,9.36989672929;St Gallen
ROT;ZEB WAKO W-SG;W;SG;;;0;;2025-01-01;2029-10-16;250.0;Umsetzung;;47.4231789578,9.36989672929;St Gallen
ROT;AS35 RS Wendegleis;RS;RS;;;0;;2031-01-01;2032-11-30;100.0;Umsetzung;;47.4780019584,9.50514123365;Rorschach
ROT;SMG Stw Ersatz;SMG;SMG;;;0;;2028-01-01;2029-11-30;100.0;Umsetzung;;47.4532159757,9.6382619195;St Margrethen
ROT;AS25 WZ Güterverkehrsanlage Schöneich;WZ;WZ;;;0;min. Intervallbedarf  WZ - HI                     3x WE plus 3 Mt. Abend;2025-01-01;2026-09-29;91.0;Umsetzung;;47.3180315958,8.79228970642;Wetzikon
ROT;OSS BehiG;OSS;OSS;;;0;08/20: ev Zusammenlegung BehiG 1159704 mit Ausbau;2025-01-01;2025-12-16;50.0;Umsetzung;;47.6146139832,8.72411652563;Ossingen
ROT;SH-FT Sanierung Rheinbrücke;SH;FT;;;0;BFP 23.3.20, Cluster mit FbE Gl 643 SH-FT (2026) bilden;2025-01-01;2026-08-18;85.0;Umsetzung;;47.6921694419,8.645968468;Feuerthalen
ROT;EZ BehiG;EZ;EZ;;;0;viele Arbeiten tagsüber ohne Sperrung möglich;2024-02-05;2024-04-28;12.0;Sperre Bahnhof Nacht;;47.6454121293,8.87656168183;Eschenz
ROT;Neubau Brücke WIL-BRO km 1.4 (Zürcherstr.);WIL;BRO;;;0;externe Studie abgeschlossen 06/20;2024-01-01;2024-10-06;40.0;Umsetzung;;47.4754443436,9.03467784735;Bronschhofen
ROT;FbE24_KRB_Gl 82_W_10 (ex FbE20);KRB;KRB;;;0;2020 Wochenendsperrung geplant, Gl 82 ursprünglich in 1158561 geplant;2024-11-23;2024-12-06;2.0;Sperre Strecke 24 Std;1.0;47.6421145154,9.16320415414;Kreuzlingen Bernrain
