Region;project;bp_from;bp_to;km from;km to;distance;Bemerkungen;date from;date to;amount of weeks;"Umsetzung / 
Intervalltyp / Umleitung";reduction of capacity;bis_geopos;von Betriebspunkt
ROT;WGR Busquerung;WGR;WGR;;;0;Evtl. Konflikt mit FsE / BehiG ARN,BZN  bei Umleitungsbedarf via SLG-GSS;2024-01-01;2025-11-30;100.0;Umsetzung;;47.4987547049,8.75105522894;Winterthur Grüze
ROT;FbE24 EL W11,12, Gl 1,34 (ex FbE20);EL;EL;;;0;;2024-06-17;2024-07-14;4.0;Sperre Bahnhof 24 Std;;47.4985290889,8.86341151986;Elgg
ROT;FbE24_SCHZ Gl. 3-53;SCHZ;SCHZ;;;0.82;Herausforderung Cargo SCHZ, Konzept WE prüfen, voraussichtlich 3-4 WE;2024-05-01;2024-05-28;4.0;Sperre Bahnhof 24 Std;;47.4451875896,9.06843068646;Schwarzenbach SG
ROT;SG-SMG Anpassung für Neigezüge;SG;SMG;;;0;;2022-04-01;2022-12-01;35.0;Umsetzung;;47.4532159757,9.6382619195;St Margrethen
ROT;FbE 2030: ORT - ALT;ORT;ALT;38.2;41;0;Anfrage Totalsperre FB Sanierung;2030-04-01;2030-10-27;30.0;Sperre Strecke 24 Std;1.0;47.3742348063,9.55651992327;Altstätten SG
ROT;AS 25: TRUE - BU DS;TRUE;BU;;;0;Verlängerte Nachtsperre Fpl. 24;2023-12-10;2024-12-07;52.0;Sperre Strecke Nacht;1.0;47.1684119711,9.47863664902;Buchs SG
ROT;BU Ersatz Rangierstw;BU;BU;;;0;;2024-01-01;2025-11-30;100.0;Umsetzung;;47.1684119711,9.47863664902;Buchs SG
ROT;FbE27 WWUE-PFU Gl 606 (ex FbE22);PFU;WWUE;;;1.734;;2027-01-01;2027-12-16;50.0;Umsetzung;;47.5064358947,8.68092955866;Winterthur Wülflingen
ROT;UST Stw Ersatz (ev im Rahmen Projekt DS UST-AAT);UST;UST;;;0;;2026-06-01;2027-12-12;80.0;Umsetzung;;47.3503689645,8.71870911871;Uster
ROT;GIB-WL Erneuerung Stb's Grosswis und Büe;GIB;WL;;;0;;2024-09-01;2025-10-25;60.0;Umsetzung;;47.2726904861,8.91399979249;Wald
ROT;AS35 OSS Kreuzungsgleis;OSS;OSS;;;0;08/20: ev Zusammenlegung BehiG 1159704 mit Ausbau;2030-01-01;2033-10-31;200.0;Umsetzung;;47.6146139832,8.72411652563;Ossingen
ROT;AS35 STR Wendegleis;STR;STR;;;0;;2031-01-01;2032-11-30;100.0;Umsetzung;;47.6561110013,8.85502002864;Stein am Rhein
ROT;EW BehiG;EW;EW;;;0;betrieblich nur 1 Perronkante nötig;2024-05-06;2024-09-22;20.0;Sperre Bahnhof 24 Std;0.5;47.6611446979,8.81861733248;Etzwilen
ROT;FsE24: RH - RS;RH;RS;;;0;Terminkonflikt mit Sperrung Rheintal;2025-01-01;2026-12-01;100.0;Umsetzung;;47.4780019584,9.50514123365;Rorschach
ROT;FbE24_BROA-WIL_Gl_700 (ex FbE20);BROA;WIL;;;0;Totalsperre Herbstferien;2024-10-05;2024-10-25;3.0;Sperre Strecke 24 Std;1.0;47.4624132783,9.04099307807;Wil SG
ROT;FbE24 TOA W9 (ex FbE20);TOA;TOA;;;0;Totalsperre Herbstferien;2024-10-05;2024-10-18;2.0;Sperre Bahnhof 24 Std;1.0;47.5213013698,9.03370938412;Tobel-Affeltrangen
ROT;FbE Rickentunnel;KAB;WA;;;#VALUE!;Umsetzung 2025, Studie nötig, wenn mögl. mit FbE Gl. 825 Studie nötig;2025-04-01;2025-07-14;15.0;Sperre Strecke Nacht;;47.2994799951,9.08645998773;Wattwil
ROT;FbE WA Gl. 825;KAB;WA;;;0.543;soll zusammen mit FbE im Rickentunnel umgesetzt werden Verschiebung 24->25???;2025-06-17;2025-07-14;4.0;Sperre Strecke Nacht;;47.2994799951,9.08645998773;Wattwil
RSD;IM-BRU Unterhaltsfenster;IM;BRU;1;20.9;19.9;Unterhaltsfenster;2024-09-08;2024-09-21;2.0;Sperre Strecke Nacht;0.5;46.9991749495,8.61006762236;Brunnen
RSD;600-24- IM-GD-FsE25;IM;GD;1.988;9.226;7.238;FsE 2025;2025-01-01;2026-12-29;104.0;Sperre Strecke Nacht;0.5;47.049044874,8.54944633996;Arth-Goldau
RSD;FbE24_GD_GL_5-45;GD;GD;8.6;9.1;0.5;FbE24;2024-03-18;2024-04-07;3.0;Sperre Bahnhof Nacht;0.5;47.049044874,8.54944633996;Arth-Goldau
RSD;FbE25_SCHW_W_21-22-23-26;SCHW;SCHW;17.1;17.8;0.7;FbE25;2024-09-23;2024-10-27;5.0;Sperre Bahnhof Nacht;0.25;47.0263971725,8.6321517606;Schwyz
RSD;BRU-AL Unterhaltsfenster;BRU;AL;20.9;36.2;15.3;Unterhaltsfenster;2024-04-14;2024-04-27;2.0;Sperre Strecke Nacht;0.5;46.8757386867,8.6315753775;Altdorf
RSD;BRU-SK Tunnelbeleuchtung;BRU;SK;21.1;22.97;1.87;Tunnellbeleuchtung;2024-10-01;2025-03-31;26.0;Sperre Strecke Nacht;0.5;46.949253997,8.62074868788;Sisikon
RSD;FbE25_ER_W_50-54-55-56;ER;ER;41.6;42.6;0.333;FbE25;2025-08-10;2025-09-13;5.0;Sperre Bahnhof Nacht;0.5;46.8203393997,8.65045465313;Erstfeld
RSD;Amsteg Stellwerkersatzt;AS;AS;46.1;47.1;1;STW Ersatzt;2025-09-01;2026-03-29;30.0;Sperre Bahnhof Nacht;0.5;46.7810020225,8.67210555792;Amsteg-Silenen
RSD;FbE24_AP_W_14-15-16-17-18;AP;AP;93.3;93.6;0.3;FbE24;2024-04-01;2024-05-12;6.0;Sperre Bahnhof Tag;0.5;46.5107637997,8.689927873;Ambrì-Piotta
RSD;IBS AGZ_Giustizia cambio di binario;GIDI;GIDI;149.35;149.5;0.15;SPW GIDI;2025-01-01;2025-02-25;8.0;Sperre Strecke Nacht;0.5;46.3235262857,8.98219847522;Giustizia (dira)
RSD;Concetto Macro fasi;;;;;;;2024-02-01;2026-12-23;151.0;Sperre Bahnhof Nacht;0.5;;
RSD;Phase IBN;;;;;;;;;;;;;
RSD;Phase A6 (GIU24);BEL;GIU;151.877;152.44;0.563;Bellinzona 892 152-12;2024-06-10;2024-07-21;6.0;Sperre Strecke 24 Std;0.5;46.1738126869,9.00360006177;Giubiasco
RSD;Phase B3;BEL;GIU;150.618;152.29;1.672;Bellinzona 891-881-871-W901;2025-12-18;2026-10-07;42.0;Sperre Strecke Nacht;0.25;46.1738126869,9.00360006177;Giubiasco
RSD;AS25: Lugano–Melide,Binari di giro corsa;MDE;MDE;186.908;187.576;0.668;ETCS L2;2024-06-01;2025-12-05;79.0;Umsetzung;;45.9557134937,8.94835914329;Melide
RSD;FbE24_LG_W_34-35;LG;LG;180.2;180.4;0.2;FbE24;2024-01-02;2024-01-22;3.0;Sperre Strecke Nacht;0.25;46.0055005508,8.94699524398;Lugano
RSD;FbE24_CHI_W_964-966-971-972-974_GL_11-953 (Ex bin. 965);CHI;CHI;;;0.2;FbE24;2024-01-02;2024-01-29;4.0;Sperre Strecke Nacht;0.25;45.8321680089,9.0314495232;Chiasso
RSD;Baar: Zusäztliche 4. Perronkante;BAA;BAA;26.43;26.75;0.32;AS35;2027-01-01;2032-12-16;311.0;Sperre Bahnhof Nacht;0.5;47.1953640193,8.52327156341;Baar
RSD;Zug-Baar: 3. Gleis;ZG;BAA;26.7;28.25;1.55;AS35;2027-01-01;2032-12-16;311.0;Sperre Strecke Nacht;0.25;47.1953640193,8.52327156341;Baar
RSD;FbE24_BAA-ZG_GL_427-93;BAA;ZG;27.313;28.351;1.038;FbE24;2024-05-01;2024-05-28;4.0;Sperre Strecke Nacht;0.5;47.1737069864,8.51504936752;Zug
RSD;ZG- LED Roullout;ZG;ZG;28.4;39.3;;;2027-03-01;2027-06-27;17.0;Sperre Bahnhof Nacht;0.25;47.1737069864,8.51504936752;Zug
RSD;ZG-GD Unterhaltsfenster;ZG;GD;0.16;9.7;9.54;Unterhaltsfenster;2024-09-23;2024-10-06;2.0;Sperre Strecke Nacht;0.5;47.049044874,8.54944633996;Arth-Goldau
RME;"Bern Ausbau
Publikumsanlagen (APBB)";BN;BN;96.75;106.012;0.106012;;2017-06-30;2027-12-30;548.0;Sperre Bahnhof 24 Std;0.25;46.9488322725,7.4391309556;Bern
RME;Cluster mit Totalsperrung;KZ;LY;85.1;100.3;0.1003;;2025-05-04;2025-07-24;6.0;Sperre Strecke 24 Std;1.0;47.076323468,7.30630158808;Lyss
RME;;DN;DN;;;0;;2026-07-01;2026-09-01;9.0;Sperre Bahnhof 24 Std;0.25;47.2182258248,7.61891295891;Deitingen
RME;Totalumbau Bahnhof OLH und Cargogleise;OLH;OLH;;;0;Studie am tun, FB mit 2024 Treiber;2024-01-01;2024-12-15;50.0;Sperre Bahnhof 24 Std;0.5;47.348555177,7.89772397213;Olten Hammer
RME;"AS30 Publikumsanlage
Olten (1. Etappe)";OL;OL;39;39.6;0.0396;;2027-01-01;2030-06-13;180.0;Sperre Strecke Nacht;0.25;47.3519347412,7.90769966099;Olten
RME;AS30/35 Aarburg-O. - Wankdorf ZfZ 3 Min.;WKD;ABO;102;42.75;0.04275;;2027-01-01;2031-12-25;260.0;Sperre Strecke Nacht;;47.3202684783,7.90822265971;Aarburg-Oftringen
RME;"ZEB Bern Wylerfeld,
Entflechtung";BWY;"LGUT
OST";105;"102.400
109.600";#VALUE!;;2016-01-01;2026-07-16;550.0;Umsetzung;0.25;;
RME;AS25 Bern Ost, 2 Min.-ZfZ;BN;BWY;106.1;105.6;0.1056;;2026-06-30;2028-10-16;120.0;Sperre Strecke 24 Std;0.25;46.9665979143,7.46028541655;Bern Wyler
RME;FbE24 ZAE-BOE Gleis 826;ZAE;BOW;25;26.95;0.02695;;2024-01-15;2024-12-15;48.0;Sperre Strecke Nacht;;46.9000482296,7.69805348673;Bowil
RME;Zofingen - Emmenbrücke ZfZ;ZF;EBR;47.5;90.8;0.0908;;2026-01-01;2028-11-15;150.0;Sperre Strecke Nacht;0.25;47.070601491,8.28256532837;Emmenbrücke
RME;BS, W. 332, 337, 343, 345, 351, 352;BS;BS;;;0;;2024-01-01;2024-12-29;52.0;Sperre Bahnhof 24 Std;1.0;47.547412091,7.58956277697;Basel SBB
RME;"ZOF: Aufhebung BUe alte 
Luzernerstrasse K104";ZF;SAF;0.5;6.8;0.0068;Kanton Aargau plant die Aufhebung des BUe K 104, Aeussere Luzernstrasse – Aarburgerstrasse;2024-05-15;2025-10-21;75.0;Sperre Strecke Nacht;0.25;47.3217579027,7.98351818243;Safenwil
RME;AS35 Suhr: Kreuzungsgleis 750m;SUHR;OEF;15.3;14.4;0.0144;;2026-01-01;2030-12-25;260.0;Sperre Strecke Nacht;0.25;47.3564864045,8.04838711049;Oberentfelden
RME;AS30: Knoten Lenzburg, Publikumsanlagen;LB;LB;;;0;;2024-08-01;2030-12-25;334.0;Sperre Bahnhof 24 Std;0.25;47.3911997555,8.1703928761;Lenzburg
RME;SINS, BZU23 Perronerhöhung;SINS;SINS;92.35;929;ganzer Bhf;;2025-01-01;2026-03-31;65.0;Sperre Bahnhof Nacht;0.25;47.188314246,8.39783087558;Sins
RME;Ersatzneubau U Zürcherstrasse;MI;BNZ;82.3;84.9;0.0849;Ersatzneubau der Unterführung Zürcherstrasse, auszuführen in Koordination mit PU Eggstrasse (ISP 1154546);2025-01-08;2026-12-01;99.0;Sperre Strecke Nacht;0.25;47.2468514591,8.36561693375;Benzenschwil
RME;"IB-Projekte vor 2024
Ersatzneubau PU Eggstrasse";MI;BNZ;82.3;84.9;0.0849;Ersatzneubau der Unterführung Zürcherstrasse, auszuführen in Koordination mit PU Eggstrasse (ISP 1160217;2025-01-08;2026-12-01;99.0;Sperre Strecke Nacht;0.25;47.2468514591,8.36561693375;Benzenschwil
RME;FBE24 EBI Gleis 103 & 104;EBI;EBI;59;60.5;0.0605;Laufmeter mit Gleis 63/103 - 64/104 = 3000m;2024-01-15;2024-12-15;48.0;Sperre Bahnhof 24 Std;;47.0842627454,8.34235821712;Ebikon
RME;GSK Migration rcs95 auf RCI  von LZVH und MEG durch Zelle Luzern;EBI;EBI;52.823;58.58;0.05858;;2024-04-02;2024-04-15;2.0;Sperre Strecke 24 Std;;47.0842627454,8.34235821712;Ebikon
RWT;Puidoux - Palézieux  : Wako lot 2.1;PUI;PAL;;;;;2023-01-01;2024-06-29;78.0;Sperre Strecke Nacht;0.5;46.5427635573,6.83787521203;Palézieux
RWT;Palézieux : Wako lot 2.2;;;;;;;2024-01-01;2024-12-29;52.0;;;;
? : ne correspond pas à Railsys;;;;;;;;;;;;;;
RWT;Viaduc de la Paudèze;PU;CU;0.85;4.144;-3.294;EP terminée, B. Miraton;2024-01-08;2025-12-31;104.0;Sperre Strecke 24 Std;0.5;46.4885617736,6.72715145406;Cully
RWT;MX-TER, PS Rue d'Etraz;MX;TER;23.806;28.644;-4.838;EP treminée, D. Luce;2024-01-01;2024-12-29;52.0;Sperre Strecke Nacht;0.5;46.4263815833,6.9227068988;Territet
RWT;FbE24 MX-VIL_V_633_637;VIL;MX;28.61;24.027;4.583;;2024-07-08;2025-04-13;40.0;Sperre Strecke Nacht;0.25;46.4358843229,6.91044006944;Montreux
RWT;Brig, tunnel du Simplon - assainissement du tube 1;BR;STDG;157.729;166.869;-9.14;1 tube en 2023 1 tube en 2024;2023-01-01;2023-12-02;48.0;Sperre Strecke 24 Std;0.5;46.2723377046,8.09349478399;Staz della Galleria Sempione
RWT;Chavornay - boucle Travys;CHV;CHV;;;;Acerra Mariangela / prévu SAP 2023 +3mio 2024;2023-01-01;2024-05-18;72.0;Sperre Strecke Nacht;0.25;46.7100845475,6.56816325981;Chavornay
RWT;LHE, assainissement pont Le Paradis;LHE;LHE;44.65;;;Frédéric Restani;2024-01-01;2024-12-29;52.0;Sperre Strecke Tag;0.5;47.1894917627,7.22539576798;La Heutte
RWT;;;;;;;;;;;;;;
ROT;AS35 ZSEB Kreuzungsgleis G 750m;ZSEB;ZSEB;;;;Anpassung gesamt Bhf Anlage;2025-01-01;2027-11-16;150.0;Umsetzung;0.25;47.4187500474,8.54466018901;Zürich Seebach
ROT;ZUE Gesamterneuerung Brücke km 1.89 (Ev. Hardbrücke?);ZUE;ZUE;;;;;2031-01-01;2032-11-30;100.0;Umsetzung;;47.3781766923,8.54021233623;Zürich HB
ROT;Unterführung Langstrasse;ZUE;;;;;Projekt Stadt ZUE: Anpassung Kabelkanal;2023-01-01;2024-11-30;100.0;Sperre Bahnhof Nacht;;;
ROT;Stw Ersatz KLW (2030?);KLW;KLW;;;;Stw. Ersatz DO 67: 2027-30;2027-06-22;2030-12-02;180.0;Umsetzung;;47.4333288409,8.35421393402;Killwangen-Spreitenbach
ROT;Stw Ersatz SCHL (2028?);SCHL;SCHL;;;;Stw. Ersatz DO 67: 2027-30;2027-06-22;2030-12-02;180.0;Umsetzung;;47.3991763687,8.44724501036;Schlieren
ROT;FbE24 SCHL_Gl.51, 52, 62, W71, W72 (ex 2022);SCHL;SCHL;;;;Koo mit Pdu Goldschlägi;2024-08-25;2024-09-21;4.0;Sperre Strecke Nacht;0.5;47.3991763687,8.44724501036;Schlieren
ROT;Cluster Heitersberg;KLW;MELH;;;;;2023-07-01;2023-09-08;10.0;Sperre Strecke 24 Std;1.0;47.4280750785,8.27636329083;Mellingen Heitersberg
ROT;Stw Ersatz ZWOL;ZWOL;ZWOL;;;;;2027-01-01;2028-11-30;100.0;Umsetzung;;47.34744029,8.53360098792;Zürich Wollishofen
ROT;FbE24:TW W 3-11;TW;TW;;;2.1;voraussichtlich 3 - 4 WE, Klärung ob Radien noch konform läuft bei                                    Stefan Gasser;2024-10-20;2024-11-16;4.0;Umsetzung;0.5;47.2959813712,8.56476944831;Thalwil
ROT;FbE26: RG-BIL Gl.152 (ex FbE21);RG;BL;;;3.267;2 KW Einspur;2026-03-22;2026-05-30;10.0;Sperre Strecke Tag;0.5;46.5289636663,7.67555743661;Blausee-Mitholz
ROT;Sanierung Riesbachtunnel;ZSTH;ZTB;;;0;;2025-06-01;2025-10-04;18.0;Umsetzung;;47.3501246373,8.56138988846;Zürich Tiefenbrunnen
ROT;Totalsperrung Riesbachtunnel;ZSTH;ZTB;;;0;;2025-07-14;2025-08-10;4.0;Sperre Strecke 24 Std;1.0;47.3501246373,8.56138988846;Zürich Tiefenbrunnen
ROT;KUES-RW Erneuerung FS und Beleuchtung;KUES;RW;;;0;evtl. Cluster 4 Wo Sommer 26 Totalsperre;2024-01-01;2028-10-15;250.0;Umsetzung;;47.2248871845,8.81674495291;Rapperswil
ROT;ERLB Stw Ersatz;ERLB;ERLB;;;0;;2025-01-01;2026-12-01;100.0;Umsetzung;;47.3057919232,8.59152235647;Erlenbach ZH
ROT;BehiG NID, LU, DSB, RUET, LINB, LIN;NID;LIN;;;0;Pilot mit TU, Ziel Vorzug Umsetzung in Totalsperrung 2023;2026-01-01;2026-10-07;40.0;Umsetzung;;46.9255635637,8.9977948688;Linthal
ROT;FbE24: GLB Gl: 23, 42, 43-3-56, W 5/6;GLB;GLB;;;2.3;Int. Konzept anfragen;2024-05-01;2024-07-02;9.0;Sperre Bahnhof Nacht;0.25;47.4308267427,8.55885413606;Glattbrugg
ROT;FbE24 HRD: Gl.51, 52, W 2-5;HRD;HRD;;;0;Kann nicht mit ZWIP Sperre umgesetzt werden;2025-01-01;2025-02-25;8.0;Umsetzung;;47.3915284925,8.51144653427;Hard Käferberg (Abzw)
ROT;Stw Ersatz FMS;FMS;FMS;;;0;;2025-01-01;2026-12-01;100.0;Umsetzung;;47.0966166348,9.34792927358;Flums
ROT;ZUE-CH div. Brückenplatten;ZUE;CH;;;0;;2029-01-01;2032-10-31;200.0;Umsetzung;;46.853084163,9.52893771993;Chur
ROT;FbE26: FMS Gl. 42-2-72, W17, 18, 23-25 (evtl. Cluster mit BhiG);FMS;FMS;;;0;Schieben max bis 2028 mit Massnahmen (Lüönd schiebt D auf 26);2026-10-15;2026-12-16;9.0;Sperre Bahnhof Nacht;0.25;47.0966166348,9.34792927358;Flums
ROT;OP-ZFH Teilern Flughafentunnel;OP;ZFH;;;0;;2025-01-01;2025-12-09;49.0;Sperre Bahnhof 24 Std;0.25;47.4503856566,8.56240184756;Zürich Flughafen
ROT;FbE26 ZOER-ZFH Gl100/200 (ex FbE22);OP;ZFH;;;4.5;ev. Cluster mit 750-1? 2x2 Wo Einspurbetrieb in FbE22 geplant;2026-01-01;2026-03-25;12.0;Umsetzung;;47.4503856566,8.56240184756;Zürich Flughafen
ROT;FbE25 ZFH-DORF Gl 100/200 (ex FbE21);ZFH;DORF;;;1.075;Wochenendsperrung;2025-05-08;2025-05-21;2.0;Sperre Strecke 24 Std;0.5;47.4433780357,8.60956981715;Dorfnest (Abzw)
ROT;AS35 Brüttenertunnel Abschnitt WS-HUER;WS;HUER;;;0;;2026-01-01;2033-08-31;400.0;Umsetzung;0.25;47.4224509409,8.66343003186;Hürlistein (Abzw)
ROT;W Abstellanlage Lindareal;W;W;;;0;Studienstart April 2020;2035-01-01;2036-07-13;80.0;Umsetzung;;47.5003337739,8.72382110762;Winterthur
ROT;FbE24: HUER 110,112,114, Gl. 2-22+23;HUER;HUER;;;2.6;Schlüsselprojekt, WS erforderlich, pro W 1 WE (Sperrperimeter Gl 22-72 / 23-73), Umbau Gl in 8 Std Intervallen möglich;2024-01-01;2024-03-10;10.0;Umsetzung;;47.4224509409,8.66343003186;Hürlistein (Abzw)
ROT;AS35 FF Güterannahmegleis und Wendegleis FV 420m;FF;FF;;;0;;2026-01-01;2027-12-29;104.0;Umsetzung;;47.5581634412,8.89655962127;Frauenfeld
ROT;MUEL BehiG;MUEL;MUEL;;;0;;2024-10-01;2025-09-15;50.0;Umsetzung;;47.5881645738,9.01552204188;Müllheim-Wigoltingen
ROT;AS35 SLG-WF ZFZ;SLG;WF;;;0;Studie mit 840-6;2028-01-01;2029-11-30;100.0;Umsetzung;;47.5662242454,9.10636820814;Weinfelden
ROT;EdV WGR-SIR Perronverlängerung 320m;WGR;SIR;;;0;aufwändige Bhfe: SCHK, AD, GUN, SIR;2027-01-01;2030-04-04;170.0;Umsetzung;;47.4619971136,9.00047421982;Sirnach
ROT;GSS Erweiterung Gleisanlage GV;GSS;GSS;;;0;;2024-01-01;2024-10-06;40.0;Umsetzung;;47.4118315691,9.25305071952;Gossau SG
ROT;SGWI Stw Ersatz;SGWI;SGWI;;;0;;2027-01-01;2028-11-30;100.0;Umsetzung;;47.4039294299,9.300860239;St Gallen Winkeln
ROT;AS35 W-SG ZFZ;WGR;SG;;;0;;2026-01-01;2028-09-06;140.0;Umsetzung;;47.4231789578,9.36989672929;St Gallen
ROT;6 Durchlässe AD-GSS;GUN;GSS;;;0;6 Durchlässe (gem PoMa)                                              GUN-AD Ersatz Bdu 121.326                  ALG-SCHZ Ersatz Du 104.251                 UZW-ALG Teilern Du 101.822                   UZW-ALG Teilern Bdu 98.366              GSS-BUDZ Teilern Bdu 91.319;2026-01-01;2026-10-07;40.0;Umsetzung;;47.4118315691,9.25305071952;Gossau SG
ROT;FsE GSS-SLG;GSS;SLG;;;0;22 km FsE, 780 Fundamente, vorgesehen FsE24/25;2024-01-01;2025-11-30;100.0;Umsetzung;;47.5388040261,9.18369439908;Sulgen
ROT;FbE24 HGT Gl1-51, 2-52;HGT;HGT;;;0;;2024-01-01;2024-02-25;8.0;Umsetzung;;47.5642572262,8.68507519504;Henggart
ROT;FsE22 O 769 WTOE-EMB Erneuerung ULK;WTOE;EMB;;;0;ohne RS Dossier Verantwortung PM, ev Restarbeiten im 2024;2023-01-01;2024-06-08;75.0;Umsetzung;;47.5205902494,8.58706883565;Embrach-Rorbas
ROT;AS35 DUE-UST-AAT ZFZ und DS, 2 Ersatz BUe Zürcherstr. / Winterthurerstr.;UST;AAT;;;0;1. TP: 5 Wo Sommer 2027 Totalsperrung, zwingend Rest Randstd, 2. TP ca. 2 WE Sperrungen (2 Brücken), ev Stw Ersatz UST;2026-06-01;2029-11-11;180.0;Sperre Strecke Nacht;0.25;47.3359591251,8.76562510867;Aathal
ROT;FbE24 UST Gl 3-43, W13;UST;UST;;;0;Fpl Konzept nötig (Ausfall wendende S9);2024-01-01;2024-02-11;6.0;Sperre Bahnhof Nacht;;47.3503689645,8.71870911871;Uster
ROT;FsE EF-WZ;EF;WZ;;;0;24 km FL, 680 Fundamente;2024-01-01;2025-11-30;100.0;Sperre Strecke Nacht;0.25;47.3180315958,8.79228970642;Wetzikon
ROT;FsE OWT-EW;SEU;EW;;;0;Abschnitt 3 SEU-EW, soll als Einzelprojekt beauftragt werden;2023-01-01;2026-10-31;200.0;Sperre Bahnhof Tag;0.5;47.6611446979,8.81861733248;Etzwilen
ROT;FT BehiG;FT;FT;;;0;vorgesehen BZU Paket 3 2026+, möglicher Cluster mit FbE FT Gl1,2,10, W2,3;2026-01-01;2030-10-16;250.0;Umsetzung;;47.6921694419,8.645968468;Feuerthalen
ROT;AS35 KR Kapazitätserweiterung S44;KR;KR;60.4;60.8;0;Temp. Ausserbetriebnahme Gl. 4;2024-01-01;2024-10-06;40.0;Sperre Bahnhof Nacht;0.25;47.6525527757,9.16908040533;Kreuzlingen
ROT;FbE24_EW_Gl_4_5_33_W_12-17 (ex FbE22);EW;EW;;;1.579;Projektierungsvarianten: WE 54h oder Nacht 8h;2024-03-01;2024-04-25;8.0;Sperre Bahnhof Nacht;1.0;47.6611446979,8.81861733248;Etzwilen
ROT;FbE25 STR-EZ Gl 535 (ex FbE22);STR;EZ;;;1.327;Intervallvarianten: à 8h oder Wochenendsperrung à 54h;2025-05-01;2025-06-25;8.0;Sperre Strecke Nacht;1.0;47.6454121293,8.87656168183;Eschenz
ROT;AS35 Kreuzungsstation TOA oder TAEN (unklar wo?);TAEN;TAEN;;;0;ob TOA oder TAE ist unklar (je nach Unterlagen)!;2029-01-01;2032-10-31;200.0;Umsetzung;;47.5093638855,9.02479323479;Tägerschen
ROT;FbE25 SHAU-LENG Gl 732 (ex FbE20);SHAU;LENG;;;0;Totalsperrung geplant im 2020;2025-01-10;2025-03-06;8.0;Sperre Strecke 24 Std;1.0;47.6255977915,9.19028315307;Lengwil
ROT;FbE 24: Gl. 832: UZ - KAB;UZ;KAB;;;2.558;Zeitlich parallell zu Druckgelenksanierung Rickentunnel;2024-09-10;2024-12-02;12.0;Sperre Strecke Nacht;0.25;47.2179832172,9.0224310375;Kaltbrunn
ROT;AS35 LUET Kreuzungsstation;LUET;LUET;;;0;;2029-01-01;2031-11-16;150.0;Umsetzung;;47.3838286581,9.07068713915;Lütisburg
RSD;IM-BRU Unterhaltsfenster;IM;BRU;1;20.9;19.9;Unterhaltsfenster;2024-05-05;2024-05-18;2.0;Sperre Strecke Nacht;0.5;46.9991749495,8.61006762236;Brunnen
RSD;FbE24_GD_W_74-75-119-120-121_GL_15-39-76;GD;GD;8.6;9.1;0.5;FbE24;2024-06-03;2024-06-30;4.0;Sperre Bahnhof Tag;0.25;47.049044874,8.54944633996;Arth-Goldau
RSD;STN-GD, 15kV Speisung Anpassungen;GD;SCHW;8.6;18.6;10;FS;2023-01-01;2024-07-27;82.0;Sperre Bahnhof Nacht;0.5;47.0263971725,8.6321517606;Schwyz
RSD;BZU23_Göschenen;GOE;GOE;70.35;70.55;;BZU23;2024-03-01;2024-12-26;43.0;Sperre Bahnhof Nacht;0.5;46.6658149308,8.5888081861;Göschenen
RSD;"BZU23; Airolo";AI;AI;86;86.4;0.4;BZU23;2024-07-01;2025-11-23;73.0;Sperre Bahnhof Tag;0.25;46.5275259222,8.60861971573;Airolo
RSD;"BZU23; Faido";FA;FA;105.75;106.2;0.45;BZU23;2025-03-01;2025-10-31;35.0;Sperre Bahnhof 24 Std;0.5;46.4830754867,8.79071005429;Faido
RSD;"BZU23; Lavorgo";LAV;LAV;112.45;112.7;0.25;BZU23;2025-03-01;2025-10-31;35.0;Sperre Bahnhof 24 Std;0.25;46.4409016988,8.83974736529;Lavorgo
RSD;UF_2024_(GIDI)-(CAST);GIDI;CAST;135.25;145.65;10.4;Unterhaltsfenster;2024-09-23;2024-09-29;1.0;Sperre Strecke Nacht;0.5;46.2229216623,9.04146179352;Castione-Arbedo
RSD;Phase A7 (BIN 100+ 200);BEL;GIU;151.877;152.44;0.563;Bellinzona Sud 892 152-12;2024-07-22;2024-10-20;13.0;Sperre Strecke Nacht;0.5;46.1738126869,9.00360006177;Giubiasco
RSD;Phase B1;BEL;GIU;151.345;152.121;0.776;Eliminazione SPW Dragonato;2025-12-22;2026-03-01;10.0;Sperre Strecke Nacht;0.25;46.1738126869,9.00360006177;Giubiasco
RSD;Diverse Bauphasen in die Strecke;VEZB;CAP;178.278;195.442;;Dynamische Test Fahrten (+6 Mt);2024-01-01;2024-06-30;26.0;Sperre Strecke Nacht;1.0;45.9028373055,8.97890520587;Capolago-Riva S Vitale
RSD;LUG Modulo 3 (PU Besso);LG;LG;;;;Dritte;2021-03-01;2024-12-29;200.0;Umsetzung;;46.0055005508,8.94699524398;Lugano
RSD;Diverse Phasen in Bahnhof;MDE;MDE;186.908;187.576;;;2024-06-01;2025-12-05;79.0;Sperre Bahnhof Nacht;0.25;45.9557134937,8.94835914329;Melide
RME;AS35 GREL-DUG Doppelspurausbau;GREL;DUG;107;111.4;0.1114;Sperrmuster ohne RM;2025-09-01;2026-05-03;35.0;Sperre Strecke Nacht;1.0;47.4534448145,7.60346074943;Duggingen
RME;FbE24 TH W. 223, 224, 231-233, 237, 251, 252;TH;TH;137;137.45;0.13745;;2024-01-15;2024-12-15;48.0;Sperre Strecke Nacht;;46.7548527757,7.62960576339;Thun
